Date,Open,High,Low,Close,Adj Close,Volume
10/16/2017,22892.91992,22960.11914,22887.11914,22956.96094,22956.96094,247180000
10/17/2017,22952.41016,23002.19922,22948.23047,22997.43945,22997.43945,273090000
10/18/2017,23087.13086,23172.92969,23086.75,23157.59961,23157.59961,271870000
10/19/2017,23107.4707,23167.24023,23052.66992,23163.03906,23163.03906,350400000
10/20/2017,23205.17969,23328.83984,23201.7793,23328.63086,23328.63086,474380000
10/23/2017,23348.94922,23368.36914,23273.96094,23273.96094,23273.96094,456830000
10/24/2017,23346.7793,23485.25,23343.23047,23441.75977,23441.75977,406850000
10/25/2017,23431.08984,23451.50977,23251.10938,23329.46094,23329.46094,399560000
10/26/2017,23380.89063,23459.83984,23380.89063,23400.85938,23400.85938,370600000
10/27/2017,23419.16016,23449.40039,23353.16016,23434.18945,23434.18945,518870000
10/30/2017,23405.75,23428.75,23327.86914,23348.74023,23348.74023,436900000
10/31/2017,23369.2207,23406.34961,23334.39063,23377.24023,23377.24023,388050000
11/1/2017,23442.90039,23517.71094,23388.91016,23435.00977,23435.00977,361260000
11/2/2017,23463.24023,23531.38086,23350.98047,23516.25977,23516.25977,348040000
11/3/2017,23549.58984,23557.06055,23481.57031,23539.18945,23539.18945,312250000
11/6/2017,23533.96094,23574.85938,23520.75,23548.41992,23548.41992,325190000
11/7/2017,23574.0293,23602.11914,23484.18945,23557.23047,23557.23047,285080000
11/8/2017,23542.59961,23575,23510.56055,23563.35938,23563.35938,264670000
11/9/2017,23492.08984,23516.74023,23310.01953,23461.93945,23461.93945,305440000
11/10/2017,23432.71094,23452.19922,23392.96094,23422.21094,23422.21094,351280000
11/13/2017,23367.4707,23461.67969,23343.33984,23439.69922,23439.69922,491260000
11/14/2017,23388.40039,23414.08008,23271.57031,23409.4707,23409.4707,561330000
11/15/2017,23334.58984,23344.99023,23242.75,23271.2793,23271.2793,404300000
11/16/2017,23365.33984,23492.18945,23365.33984,23458.35938,23458.35938,402020000
11/17/2017,23433.76953,23433.76953,23356.00977,23358.24023,23358.24023,386000000
11/20/2017,23370.71094,23456.88086,23360.58008,23430.33008,23430.33008,315330000
11/21/2017,23500.15039,23617.80078,23500.15039,23590.83008,23590.83008,329650000
11/22/2017,23597.24023,23605.76953,23507.60938,23526.17969,23526.17969,268760000
11/24/2017,23552.75,23599.17969,23551.58984,23557.99023,23557.99023,118610000
11/27/2017,23552.85938,23638.91992,23545.01953,23580.7793,23580.7793,296320000
11/28/2017,23625.18945,23849.60938,23617.10938,23836.71094,23836.71094,319240000
11/29/2017,23883.25977,23959.75977,23872.58984,23940.67969,23940.67969,401410000
11/30/2017,24013.80078,24327.82031,24013.80078,24272.34961,24272.34961,488200000
12/1/2017,24305.40039,24322.06055,23921.90039,24231.58984,24231.58984,417910000
12/4/2017,24424.10938,24534.03906,24288.18945,24290.05078,24290.05078,424250000
12/5/2017,24335.00977,24349.74023,24155.2793,24180.64063,24180.64063,371190000
12/6/2017,24171.90039,24229.34961,24134.49023,24140.91016,24140.91016,312720000
12/7/2017,24116.59961,24262.88086,24101.24023,24211.48047,24211.48047,319060000
12/8/2017,24263.25977,24330.11914,24225.5,24329.16016,24329.16016,293590000
12/11/2017,24338.10938,24389.7207,24314.74023,24386.0293,24386.0293,300580000
12/12/2017,24452.96094,24552.9707,24443.83008,24504.80078,24504.80078,342220000
12/13/2017,24525.18945,24666.01953,24518.30078,24585.42969,24585.42969,325280000
12/14/2017,24631.00977,24672.48047,24508.66016,24508.66016,24508.66016,314780000
12/15/2017,24585.71094,24688.61914,24584.43945,24651.74023,24651.74023,635740000
12/18/2017,24739.56055,24876.07031,24739.56055,24792.19922,24792.19922,354880000
12/19/2017,24834.38086,24850.10938,24715.59961,24754.75,24754.75,335330000
12/20/2017,24838.08984,24852.43945,24697.10938,24726.65039,24726.65039,341790000
12/21/2017,24778.25977,24850.91016,24766.26953,24782.28906,24782.28906,339530000
12/22/2017,24764.03906,24784.15039,24717.50977,24754.06055,24754.06055,255140000
12/26/2017,24715.83984,24778.13086,24708.41992,24746.21094,24746.21094,208290000
12/27/2017,24766.51953,24789.51953,24731.67969,24774.30078,24774.30078,225890000
12/28/2017,24807.21094,24839.23047,24797.13086,24837.50977,24837.50977,200960000
12/29/2017,24849.63086,24871.66016,24719.2207,24719.2207,24719.2207,270760000
1/2/2018,24809.34961,24864.18945,24741.69922,24824.00977,24824.00977,341130000
1/3/2018,24850.44922,24941.91992,24825.55078,24922.67969,24922.67969,456790000
1/4/2018,24964.85938,25105.96094,24963.26953,25075.13086,25075.13086,403280000
1/5/2018,25114.91992,25299.78906,25112.00977,25295.86914,25295.86914,358020000
1/8/2018,25308.40039,25311.99023,25235.41016,25283,25283,341390000
1/9/2018,25312.05078,25439.7793,25308.41016,25385.80078,25385.80078,333490000
1/10/2018,25348.13086,25404.91992,25256.99023,25369.13086,25369.13086,341470000
1/11/2018,25398.59961,25575.41992,25396.18945,25574.73047,25574.73047,346830000
1/12/2018,25638.39063,25810.42969,25633.08008,25803.18945,25803.18945,376390000
1/16/2018,25987.61914,26086.11914,25702.99023,25792.85938,25792.85938,606520000
1/17/2018,25910.7793,26130.44922,25865.01953,26115.65039,26115.65039,522720000
