Date,Open,High,Low,Close,Adj Close,Volume
10/16/2017,3.96,4.11,3.94,4.09,4.09,127500
10/17/2017,4.07,4.24,4.03,4.23,4.23,196100
10/18/2017,4.19,4.3,4.07,4.1,4.1,134300
10/19/2017,4.05,4.07,3.9,3.94,3.94,178600
10/20/2017,3.97,4.06,3.91,3.99,3.99,115200
10/23/2017,4,4.13,3.91,3.95,3.95,206600
10/24/2017,3.96,3.99,3.93,3.95,3.95,69600
10/25/2017,3.93,3.98,3.91,3.97,3.97,137200
10/26/2017,3.98,4.04,3.92,3.94,3.94,70100
10/27/2017,3.93,3.98,3.79,3.8,3.8,252000
10/30/2017,3.79,3.8,3.69,3.71,3.71,229000
10/31/2017,3.71,3.74,3.6,3.61,3.61,227200
11/1/2017,3.63,3.83,3.62,3.68,3.68,214200
11/2/2017,3.68,3.7,3.59,3.63,3.63,168500
11/3/2017,3.69,3.69,3.53,3.56,3.56,249900
11/6/2017,3.55,3.85,3.55,3.77,3.77,253800
11/7/2017,3.88,3.98,3.78,3.83,3.83,397500
11/8/2017,4.7,5.23,4.17,5.2,5.2,2159900
11/9/2017,5.15,5.59,5.15,5.34,5.34,823100
11/10/2017,5.37,5.49,5.2,5.37,5.37,388900
11/13/2017,5.41,5.65,5.38,5.56,5.56,301600
11/14/2017,5.57,5.74,5.43,5.5,5.5,351200
11/15/2017,5.48,5.5,5.01,5.02,5.02,387300
11/16/2017,5.06,5.27,5.04,5.23,5.23,271600
11/17/2017,5.31,5.55,5.21,5.51,5.51,223500
11/20/2017,5.55,5.62,5.31,5.5,5.5,209000
11/21/2017,5.51,5.55,5.33,5.4,5.4,120500
11/22/2017,5.42,5.47,5.18,5.18,5.18,177400
11/24/2017,5.24,5.39,5.1,5.38,5.38,72600
11/27/2017,5.35,5.35,5.12,5.22,5.22,118900
11/28/2017,5.25,5.55,5.23,5.49,5.49,187000
11/29/2017,5.48,5.81,5.48,5.8,5.8,213400
11/30/2017,5.8,5.88,5.62,5.7,5.7,208400
12/1/2017,5.69,5.92,5.44,5.9,5.9,225100
12/4/2017,5.9,6.27,5.9,6.09,6.09,375800
