Date,Open,High,Low,Close,Adj Close,Volume
8/22/2016,259,260,257.25,257.75,254.657608,2033572
8/23/2016,257.625,260.25,257.5,259.799988,256.683014,2308508
8/24/2016,260.049988,261,258.524994,259.825012,256.707733,2095176
8/25/2016,260.5,260.625,251.125,252,248.976608,9674276
8/26/2016,252,253.024994,244,245,242.060593,6636966
8/29/2016,245.5,245.774994,238.550003,239.399994,236.527771,10191252
8/30/2016,239.449997,245.225006,239.074997,244.725006,241.78891,9062092
8/31/2016,245.899994,248,243.125,245.824997,242.875687,5622056
9/1/2016,244.850006,244.850006,240.75,241.975006,239.071884,3976828
9/2/2016,242,242.774994,239.649994,241.800003,238.898987,3229204
9/6/2016,242.5,242.699997,240,241.449997,238.553177,3184146
9/7/2016,243.899994,244.875,240.024994,240.875,237.985092,4294900
9/8/2016,238.5,239.824997,235.100006,236.975006,234.131866,4459448
9/9/2016,238.800003,241.5,237.149994,240.324997,237.441681,3792416
9/12/2016,237.399994,241.699997,236.074997,240.199997,237.318176,3775662
9/14/2016,242.25,242.475006,237.925003,239.024994,236.157272,3684896
9/15/2016,239.899994,239.899994,237.125,239.225006,236.354889,3629244
9/16/2016,240.649994,241.149994,239,239.699997,236.824173,4621608
9/19/2016,240,240.975006,238.100006,239.975006,237.095886,4237472
9/20/2016,241.25,241.25,239.050003,240.524994,237.639267,2185996
9/21/2016,241.475006,242.25,240.125,241.925003,239.022491,3250732
9/22/2016,242.5,242.600006,239.800003,240.875,237.985092,2862388
9/23/2016,241.625,241.850006,239.524994,240.100006,237.219391,4612832
9/26/2016,240.199997,240.5,238.050003,239.649994,236.77478,4477216
9/27/2016,240.175003,242.5,239.5,242.100006,239.195389,3704358
9/28/2016,242.199997,242.350006,240.175003,241.850006,238.948395,1591886
9/29/2016,241.850006,241.975006,235,236.100006,233.26738,9881656
9/30/2016,236.5,240,236.5,239.475006,236.601883,4206366
10/3/2016,240,240.050003,237.149994,239.475006,236.601883,2001258
10/4/2016,239.5,242.475006,239.5,240.899994,238.009766,2660992
10/5/2016,240.899994,241.574997,238.324997,239.774994,236.89827,2826888
10/6/2016,240,240.300003,238.524994,239,236.132584,2773506
10/7/2016,239,239.850006,237.800003,238.475006,235.613876,2087362
10/10/2016,238.600006,239.875,238.050003,238.5,235.63858,1326752
10/13/2016,238.5,239.5,237.199997,239.125,236.256073,2748510
10/14/2016,238.899994,240.600006,237.149994,237.5,234.650574,2581574
10/17/2016,237.524994,237.824997,235.800003,236.074997,233.242661,3111898
10/18/2016,236.550003,242.050003,236.5,241.375,238.47908,2175504
10/19/2016,242.5,248.449997,241.875,247.5,244.530594,4641990
10/20/2016,248.949997,250.574997,246.100006,247.699997,244.728195,2344644
10/21/2016,249.925003,250.5,246.649994,249.600006,246.605408,3981436
10/24/2016,245,245,238.800003,241.975006,239.071884,6967294
10/25/2016,242,242.300003,239.600006,240.699997,237.81218,6974720
10/26/2016,240.375,240.375,235.274994,235.774994,232.946259,2748522
10/27/2016,235.649994,236.824997,230,230.850006,228.080368,3766062
10/28/2016,230.850006,233.199997,227.050003,231.050003,228.277954,4620094
11/1/2016,232.524994,233.225006,230,230.375,227.611053,1420022
11/2/2016,228.850006,230.425003,226.199997,228.949997,226.203156,2821362
11/3/2016,229,229.975006,223.024994,223.800003,221.114944,3020242
11/4/2016,223.875,226.875,222.100006,226.25,223.535553,2455294
11/7/2016,227.5,227.725006,224.225006,225,222.300537,2675466
11/8/2016,226.5,227.949997,223.225006,225.875,223.165054,2593590
11/9/2016,212.5,225.225006,204.050003,223.449997,220.769135,4334528
11/10/2016,225.574997,225.699997,220.050003,222.475006,219.805847,3118642
11/11/2016,220.949997,222.074997,217.024994,221.175003,218.521439,3932112
11/15/2016,220.75,225.699997,219.774994,223.975006,221.287842,14139654
11/16/2016,224.5,227.25,221.050003,222.649994,219.978729,3310916
11/17/2016,221.550003,222.475006,216.899994,219.199997,216.570129,4153658
11/18/2016,219.975006,221,216.300003,218.574997,215.952621,2161166
11/21/2016,218.75,221.875,218.600006,220.899994,218.249725,3341092
11/22/2016,221,226.5,219.550003,225.199997,222.498154,2209328
11/23/2016,225.199997,225.925003,221.050003,224.449997,221.757141,2533802
11/24/2016,224.225006,227.449997,223.300003,225.375,222.671036,2765326
11/25/2016,226.5,233.5,225.5,232.375,229.587051,2558472
11/28/2016,234,234,227.800003,230.300003,227.536957,2300820
11/29/2016,230.699997,233.25,230.25,232.574997,229.784668,1250128
11/30/2016,232.5,235.475006,231,232.625,229.834061,4345392
12/1/2016,234.850006,235.475006,232.125,234.149994,231.340759,1238298
12/2/2016,235.25,235.5,229.25,230.199997,227.438156,1515476
12/5/2016,230,230,226.524994,228.324997,225.585648,1191044
12/6/2016,228,231.425003,227.949997,228.899994,226.153732,1259170
12/7/2016,229.199997,229.875,226,226.675003,223.955444,1179342
12/8/2016,227.5,229.725006,227.050003,229.300003,226.54895,2098662
12/9/2016,229.050003,230.600006,228.25,229.050003,226.301956,2036352
12/12/2016,227.5,227.949997,225.75,226.774994,224.054245,1436750
12/13/2016,228.25,232.024994,227.524994,231.875,229.093063,2350894
12/14/2016,232.074997,234.175003,231.625,233.149994,230.352753,2065466
12/15/2016,230.300003,235.949997,230.300003,233.050003,230.253952,2066742
12/16/2016,233.149994,235.074997,229.975006,231.75,228.969559,3307070
12/19/2016,231.375,233.25,231.225006,231.774994,228.994247,1554208
12/20/2016,233.449997,234.949997,230.824997,233.324997,230.525665,1625368
12/21/2016,234.25,235.25,230.600006,231.225006,228.450867,2057484
12/22/2016,231.300003,233.100006,229.649994,230.850006,228.080368,1617232
12/23/2016,232.324997,232.5,227.699997,229.375,226.623047,1344422
12/26/2016,229.199997,230.25,226.649994,228.050003,225.31395,1243804
12/27/2016,227.5,233,227.050003,232.600006,229.809357,1107046
12/28/2016,233,237.725006,232.524994,234.675003,231.859467,2382738
12/29/2016,234.5,238.5,232.024994,236.175003,233.341476,4090460
12/30/2016,236.824997,238.25,235.524994,237.225006,234.378876,1042362
1/2/2017,237.524994,239.199997,235.25,235.774994,232.946259,922856
1/3/2017,236.5,237.050003,232.850006,233.5,230.698563,1382602
1/4/2017,233.5,238.800003,233.050003,237.800003,234.946976,2268990
1/5/2017,238.550003,242.949997,238.550003,240.199997,237.318176,1956374
1/6/2017,239.25,240.050003,234.5,234.975006,232.155869,3143146
1/9/2017,234.5,237.225006,230.899994,236,233.168564,1470844
1/10/2017,236.300003,239.425003,235.625,238.25,235.391571,1323144
1/11/2017,238.949997,240.75,237.5,238.100006,235.243378,1690136
1/12/2017,238,242.125,237.125,241.600006,238.701385,1403054
1/13/2017,242.550003,243.225006,240.175003,242.324997,239.417679,1621046
1/16/2017,241.449997,243.850006,239.899994,242.375,239.467087,1210250
1/17/2017,242.675003,243.850006,240.25,241.199997,238.306168,1105854
1/18/2017,241.199997,243.5,240,241.475006,238.577896,1073858
1/19/2017,241.699997,242.225006,237.625,239.5,236.626587,1794480
1/20/2017,238.274994,239.899994,237.5,238.949997,236.083176,1528958
1/23/2017,236.274994,242.149994,235.875,239.875,236.997086,2290678
1/24/2017,241.324997,241.5,238,240.75,237.861572,1470438
1/25/2017,241,242,235.600006,236.850006,234.008377,4089942
1/27/2017,234.75,236.850006,232.149994,232.774994,229.982254,3852060
1/30/2017,232,234,228.75,232.875,230.08107,3695226
1/31/2017,232.899994,232.899994,222.675003,229,226.252548,5485654
2/1/2017,230.5,230.5,225,228,225.264542,3281534
2/2/2017,228,228.975006,223.050003,227.824997,227.083618,3064400
2/3/2017,228,229.800003,227.050003,228.875,228.130203,1755920
2/6/2017,229.324997,231.399994,227.25,230.550003,229.799759,2474820
2/7/2017,231,231,227.774994,229.274994,228.5289,1672414
2/8/2017,229.175003,232.574997,228.550003,230.25,229.500732,2627890
2/9/2017,229.149994,233.425003,228.675003,233,232.241776,1977802
2/10/2017,233.675003,236.100006,232.199997,234.625,233.861496,1535044
2/13/2017,234,238,233.625,237.225006,236.453033,1696302
2/14/2017,238.574997,238.850006,236.100006,238.350006,237.574371,1732148
2/15/2017,238.274994,239.649994,234.300003,237.350006,236.577621,2115184
2/16/2017,236.5,240.949997,236.5,240.399994,239.617691,2125130
2/17/2017,241,241.824997,237.024994,237.675003,236.901566,1579010
2/20/2017,237.5,238.699997,236.524994,237.824997,237.051071,1145454
2/21/2017,237.5,240.375,237.074997,237.899994,237.125824,2561030
2/22/2017,237.550003,238.774994,235.100006,237.25,236.477951,2084542
2/23/2017,237.25,244.625,235.774994,243.050003,242.259079,3260200
2/27/2017,240,246.300003,239.824997,244.875,244.07814,2823076
2/28/2017,245,246.100006,243.524994,244.399994,243.604675,2025428
3/1/2017,244,247.574997,242.899994,244.274994,243.480087,2034864
3/2/2017,247,247.725006,244.050003,245.100006,244.302414,2033654
3/3/2017,245.399994,247.824997,243.600006,246.925003,246.12146,1480236
3/6/2017,245.649994,246.324997,244.300003,245.949997,245.149628,1178738
3/7/2017,246.75,249.800003,245.949997,247.574997,246.769348,3300406
3/8/2017,247.324997,248.100006,244.649994,247.550003,246.744431,1149252
3/9/2017,246.5,246.5,241.675003,242.25,241.46167,1409790
3/10/2017,242.550003,244.475006,241.800003,243.524994,242.732513,1092902
3/14/2017,245,252.300003,244.699997,250.675003,249.859268,2457468
3/15/2017,252.850006,252.949997,246.199997,247.399994,246.59491,3602854
3/16/2017,248.649994,251.449997,247.5,250.274994,249.460556,3318334
3/17/2017,252,253.5,249.475006,252.125,251.304535,3328432
3/20/2017,252,252.125,247.600006,248.75,247.940521,1406956
3/21/2017,246.550003,251,246.550003,249.324997,248.513657,2231772
3/22/2017,246.75,251.699997,246,250.274994,249.460556,3982532
3/23/2017,251.5,256,250.449997,255,254.170181,5596078
3/24/2017,254.725006,257,254.725006,256.625,255.789902,3023272
3/27/2017,254.175003,256.225006,251.399994,252,251.179947,1962268
3/28/2017,252.5,255.5,251.350006,253.774994,252.949173,1246220
3/29/2017,254.225006,256.950012,251.100006,256.125,255.291519,2017766
3/30/2017,255.375,259.350006,253.199997,257.975006,257.135498,5358872
3/31/2017,256.100006,258.825012,254.899994,257.850006,257.010925,3023118
