Date,Open,High,Low,Close,Adj Close,Volume
9/17/2017,457.5,464.25,453,458.399994,448.235107,2254484
9/24/2017,455.25,462.450012,441.5,457.850006,447.697327,10253141
10/1/2017,457.850006,468.5,447,456.850006,446.719482,5942800
10/8/2017,454,479.899994,454,476.100006,465.542633,8131134
10/15/2017,474.850006,476.700012,456.100006,458.350006,448.186218,3432083
10/22/2017,457,480,453.100006,476.399994,465.835968,7905625
10/29/2017,474.049988,498,460.899994,463.450012,453.173126,16063213
11/5/2017,462,497.75,458.100006,491,480.112213,13152229
11/12/2017,487,502,481.399994,484.549988,473.805237,8802718
11/19/2017,485.950012,499,475.5,494.100006,483.143494,8604215
11/26/2017,493,502.799988,469.100006,472.899994,462.413574,9934848
12/3/2017,472.5,499.549988,462.649994,496.100006,485.099121,17447098
12/10/2017,496,518.150024,493.700012,500.75,489.645996,20866273
12/17/2017,497,500,485.299988,493.450012,482.507904,8728963
12/24/2017,493.450012,508,489.600006,504.049988,492.872833,6612320
12/31/2017,501.100006,527,500.049988,525.450012,513.798279,8826003
1/7/2018,520.700012,555.849976,520.700012,550.75,538.537292,13675409
1/14/2018,550.950012,564.549988,542.349976,552.900024,540.639648,12498114
1/21/2018,550,613.450012,549.700012,598.450012,585.179565,20007312
1/28/2018,599.049988,626.200012,593.200012,619.450012,605.713867,23361248
2/4/2018,609.900024,631.200012,589.400024,595.25,582.050476,16634493
2/11/2018,598,618.599976,581.200012,584.349976,571.392151,11912299
2/18/2018,588.75,624.950012,563.650024,621.450012,607.669556,18946295
2/25/2018,622,627.450012,602.450012,611.900024,598.331299,9168938
3/4/2018,608.5,634.900024,603,619.200012,605.469421,12930505
3/11/2018,621.150024,651.950012,613.599976,634.700012,620.625732,20066053
3/18/2018,634.849976,637.400024,603.099976,623.349976,609.527344,12418028
3/25/2018,623,641,616.650024,638.700012,624.537048,8222986
4/1/2018,638.700012,646.5,603.25,618.200012,604.491577,12587412
4/8/2018,621,673.849976,611.5,671.549988,656.658569,14920099
4/15/2018,658.099976,706,654.200012,700.5,684.966614,15335980
4/22/2018,694.549988,729.5,668.450012,670.5,655.631836,20895496
4/29/2018,675,684.150024,636.450012,662.650024,647.955933,9831757
5/6/2018,671.75,675.5,648.299988,666.450012,651.671692,13543290
5/13/2018,661.599976,697.5,658.25,692.950012,677.584045,11881521
5/20/2018,692,718.700012,675,702.75,687.166748,17118330
5/27/2018,713.950012,721.5,662.349976,701.150024,685.602234,27787860
6/3/2018,698,721.299988,683,706.950012,691.273621,17107870
6/10/2018,709,721.900024,690,707.25,691.566956,16410590
6/17/2018,711,714.150024,679.5,691.150024,675.823975,10022967
6/24/2018,692.950012,721.75,634.150024,655.450012,640.915588,28191399
7/1/2018,657.950012,669.5,633,634.900024,620.821289,18057436
7/8/2018,640,669.799988,635.5,641.049988,626.8349,17626885
7/15/2018,643.950012,664.900024,638.200012,659.450012,644.826904,12563785
7/22/2018,658,660.950012,612.400024,645.099976,630.795044,16404551
7/29/2018,648,687.5,646.299988,662.75,662.75,20782626
8/5/2018,662.75,674.75,634.099976,645.950012,645.950012,12273497
8/12/2018,649,690,647,687.700012,687.700012,18416772
8/19/2018,685,738,678.25,718.549988,718.549988,26656375
8/26/2018,720,768.75,720,765.799988,765.799988,21959552
9/2/2018,768,780,741.5,772.200012,772.200012,20235102
9/9/2018,774,776.599976,758.650024,766.25,766.25,2820247
