Date,Open,High,Low,Close,Adj Close,Volume
8/27/2017,null,null,null,null,null,null
9/3/2017,296.950012,301.700012,295.700012,300.5,299.522125,16878386
9/10/2017,301.399994,303.399994,281.200012,285.75,284.820129,31266083
9/17/2017,283.5,294.950012,283.5,294.450012,293.491821,10568416
9/24/2017,293.200012,294.549988,279.200012,280.25,279.338013,10762839
10/1/2017,280.25,287,280.25,286.600006,285.667358,4235406
10/8/2017,285.950012,295.75,284.549988,291.899994,290.950104,6648796
10/15/2017,291.899994,299.100006,286.149994,292.049988,291.099609,12019218
10/22/2017,292.700012,303.950012,292.299988,296.950012,295.983673,11023490
10/29/2017,296.299988,296.649994,292.049988,294.549988,293.591461,5117027
11/5/2017,293.899994,308.75,293.450012,302.649994,301.665131,11647617
11/12/2017,300.299988,304.399994,294.100006,295.149994,294.189514,7134129
11/19/2017,295.100006,298,291,292.700012,291.747528,7545698
11/26/2017,291.25,300.450012,288.049988,289.399994,288.458221,13356031
12/3/2017,286.950012,291.100006,280,282.899994,281.979401,11655976
12/10/2017,284.200012,291.350006,282.350006,289.700012,288.757263,6996737
12/17/2017,287,303.399994,284.25,301.600006,300.618561,12208800
12/24/2017,301.600006,316.399994,298.149994,314.25,313.227386,12494789
12/31/2017,311.5,324,307.450012,309.549988,308.542664,11500381
1/7/2018,310,327.850006,306.399994,318.799988,317.762543,15451084
1/14/2018,318.850006,334,313.399994,328.950012,327.879547,13783043
1/21/2018,317,328.950012,308.75,311.950012,310.934875,22679558
1/28/2018,314.100006,316.100006,295.200012,300.600006,299.621796,13347840
2/4/2018,298,305.549988,284,285,285,15575219
2/11/2018,287.899994,296.75,285.899994,291,291,10278574
2/18/2018,293,295.950012,288.799988,295,295,18730518
2/25/2018,294.799988,295.700012,289,292.5,292.5,18189743
3/4/2018,293.600006,293.75,283.149994,285.049988,285.049988,13326765
3/11/2018,286.299988,302,286.100006,295.75,295.75,16809032
3/18/2018,293.549988,296.5,283.049988,284.649994,284.649994,12832205
3/25/2018,284.600006,285.600006,272.350006,281.149994,281.149994,17563872
4/1/2018,283.5,290.799988,278.799988,283.950012,283.950012,7431882
4/8/2018,284.700012,294.950012,277.75,294.149994,294.149994,12228768
4/15/2018,289,300,283.299988,298.049988,298.049988,11499930
4/22/2018,299.799988,301,274,276.149994,276.149994,26013225
4/29/2018,276.149994,282.350006,264.049988,269.899994,269.899994,10953480
5/6/2018,270,275.950012,267.200012,272.649994,272.649994,9198219
5/13/2018,271.399994,280.799988,268.049988,268.899994,268.899994,13805325
5/20/2018,269.100006,269.450012,261.950012,264.600006,264.600006,12757920
5/27/2018,262.649994,264.75,258,260.600006,260.600006,12460721
6/3/2018,261.450012,265.850006,253.5,264,264,9840193
6/10/2018,264.5,270,263.25,266.899994,266.899994,13062618
6/17/2018,269,269,255,258.25,258.25,15136503
6/24/2018,257.899994,262.5,254.199997,261.5,261.5,14346587
7/1/2018,260.700012,264.799988,258.100006,262.799988,262.799988,19059320
7/8/2018,263.299988,289.799988,262.149994,280.850006,280.850006,23308816
7/15/2018,279.25,290.600006,278.850006,283,283,20453278
7/22/2018,282.5,282.5,263.350006,274.5,274.5,20932833
7/29/2018,273.799988,280.799988,269.5,278,278,11738077
8/5/2018,279,280.350006,274.399994,278.850006,278.850006,8602634
8/12/2018,278,287,277.450012,280.049988,280.049988,9380845
8/19/2018,280.799988,294.850006,280,292.149994,292.149994,14634944
8/26/2018,292,306.5,291.049988,301.25,301.25,15863679
8/31/2018,300,306.5,299.5,301.25,301.25,6782746
